variant,seeds,best_eval_return_mean,best_eval_return_std,final_eval_return_mean,final_eval_return_std,first_200_mean,first_200_count,sustained_200_mean,sustained_200_count,peak_to_final_gap_mean,largest_eval_drop_mean,q_spike_rate,max_q_value_seen_mean,td_error_abs_mean_last_10pct,catastrophic_collapse_count_mean,final_success_rate,final_landing_success_rate,final_crash_rate,final_timeout_rate,final_main_engine_fraction,final_side_engine_fraction,variant_label
dqn,10,260.2405060238231,17.27778474927607,208.0262257281983,73.68843072064605,213000.0,10,311428.5714285714,7,52.214280295624825,251.18713848848037,0.1,168.61229400634767,1.0443633955426332,10.2,0.75,0.75,0.005,0.15499999999999997,0.4641799569846442,0.23396534927711782,DQN
dqn_no_target,10,259.7732474851511,9.380424803828037,149.297883172583,109.8513917761325,186000.0,10,,0,110.47536431256813,292.2351528391246,1.0,260.2179885864258,0.9561135846909469,18.8,0.5,0.5,0.13,0.29500000000000004,0.36187733573297065,0.3259858051745673,No Target
dqn_no_replay,10,127.58699636501072,53.211844622907265,-260.6061159320087,215.6733570234749,80000.0,1,,0,388.1931122970194,143.26189997931618,0.8,2443.828073120117,2.1215315671026707,4.2,0.015000000000000003,0.015000000000000003,0.765,0.155,0.57126293607565,0.3250735692642884,No Replay
double_dqn,10,267.2474386544396,5.243228340197629,219.65427141669542,51.742004348434115,261000.0,10,326000.0,5,47.593167237744105,224.06348205309874,0.2,162.50702209472655,1.030309512666086,9.6,0.74,0.74,0.0,0.16499999999999998,0.40093193569962066,0.31430107741219715,Double DQN
dueling_dqn,10,268.32657960368545,10.098764739939496,205.48970843692564,68.39125743814371,255000.0,10,365000.0,6,62.836871166759806,261.43495817938395,0.4,159.76403045654297,0.9734665935965088,9.7,0.6900000000000001,0.6900000000000001,0.005,0.11500000000000002,0.4161198816892691,0.2571037599594075,Dueling DQN
double_dueling_dqn,10,258.27202277016966,34.29064460284814,219.84977227983381,79.70785036622836,261111.11111111112,9,363333.3333333333,9,38.42225049033584,187.5757788628501,0.4,151.95437622070312,1.0876087581844833,6.2,0.775,0.775,0.01,0.18,0.4262618497776701,0.24585837504231361,Double + Dueling
