variant,variant_label,lunar_final_threshold_ratio,freeway_final_threshold_ratio,mean_final_threshold_ratio,lunar_sustained_fraction,freeway_sustained_fraction,mean_sustained_fraction,lunar_peak_gap_threshold_ratio,freeway_peak_gap_threshold_ratio,mean_peak_gap_threshold_ratio
dqn,DQN,1.0401311286409916,1.8858333333333335,1.4629822309871625,0.7,1.0,0.85,0.26107140147812413,0.050833333333333466,0.1559523674057288
dqn_no_target,No Target,0.746489415862915,1.8158333333333334,1.281161374598124,0.0,1.0,0.5,0.5523768215628406,0.1383333333333333,0.34535507744808697
dqn_no_replay,No Replay,-1.3030305796600437,0.3891666666666667,-0.4569319564966885,0.0,0.25,0.125,1.9409655614850971,1.0499999999999998,1.4954827807425484
double_dqn,Double DQN,1.0982713570834772,1.9566666666666668,1.527469011875072,0.5,1.0,0.75,0.23796583618872053,0.025833333333333344,0.13189958476102692
dueling_dqn,Dueling DQN,1.0274485421846282,1.9241666666666668,1.4758076044256474,0.6,1.0,0.8,0.31418435583379906,0.05500000000000007,0.18459217791689955
double_dueling_dqn,Double + Dueling,1.0992488613991689,1.8866666666666667,1.492957764032918,0.9,1.0,0.95,0.1921112524516792,0.05916666666666662,0.12563895955917292
