variant,seeds,best_eval_return_mean,best_eval_return_std,final_eval_return_mean,final_eval_return_std,normalized_area_under_eval_curve_mean,first_15_mean,first_15_count,sustained_15_mean,sustained_15_count,first_22_5_mean,first_22_5_count,peak_to_final_gap_mean,largest_eval_drop_mean,catastrophic_collapse_count_mean,q_spike_rate,max_q_value_seen_mean,td_error_abs_mean_last_10pct,final_zero_score_rate,final_action_up_fraction,final_action_down_fraction,final_action_noop_fraction,final_action_entropy,final_success_15_rate,final_success_22_5_rate,variant_label
dqn,4,29.05,0.7607562027351469,28.287499999999998,0.7291904758017621,15.959999999999999,197500.0,4,427500.0,4,510000.0,4,0.762500000000002,18.2125,20.0,0.0,2.579271674156189,0.01845897508842148,0.0,0.7983250685457389,0.10030123415814657,0.10137369729611462,0.6306313428699228,1.0,1.0,DQN
dqn_no_target,4,29.3125,0.2701272848121781,27.2375,1.1923584821688493,20.88325,55000.0,4,197500.0,4,267500.0,4,2.0749999999999993,20.2,9.5,0.0,8.640023350715637,0.021642504009057064,0.0,0.7619162331353413,0.09448681853152394,0.14359694833313486,0.6968021967507259,1.0,0.975,No Target
dqn_no_replay,4,21.5875,2.8194358921599902,5.8375,9.68099781789047,5.1401875,32500.0,4,260000.0,1,390000.0,2,15.749999999999998,21.0625,76.75,0.0,2.347943991422653,0.01351363656297326,0.5625,0.3004670985019961,0.05442409567554623,0.6451088058224578,0.31899779260895095,0.25,0.1625,No Replay
double_dqn,4,29.7375,0.8798970110189033,29.35,1.0868532559642077,15.3283125,237500.0,4,460000.0,4,512500.0,4,0.3875000000000002,13.625,20.5,0.0,1.8568893074989319,0.017906697803386013,0.0,0.7995907004326157,0.08929511905452775,0.11111418051285644,0.6346499882698575,1.0,1.0,Double DQN
dueling_dqn,4,29.6875,0.4761499238685222,28.8625,0.823388577768722,17.013625,245000.0,4,427500.0,4,480000.0,4,0.8250000000000011,14.662499999999998,12.5,0.0,2.7872467041015625,0.018132296406036738,0.0,0.7792057533822707,0.06694514190594017,0.15384910471178903,0.6546326193259377,1.0,1.0,Dueling DQN
double_dueling_dqn,4,29.1875,0.1745530005471115,28.3,0.8299096336348909,15.5088125,145000.0,4,472500.0,4,522500.0,4,0.8874999999999993,16.125,28.5,0.0,1.7598154842853546,0.01746895738060073,0.0,0.7939782515889784,0.07470305924055767,0.13131868917046394,0.6376275031324805,1.0,1.0,Double + Dueling
