outcome,runs,best_mean,final_mean,zero_mean,final_up,final_down,final_noop,tail_action_gap,tail_td_loss,tail_grad_norm,tail_replay_reward,tail_train_return,tail_train_zero,outcome_label
stable_success,5.0,25.02,24.09,0.0,0.8549432124278388,0.06772568764885631,0.07733109992330484,0.059255997387607874,0.0014343939868723262,0.060229102901624684,0.011130412300055157,21.28,0.002,Stable success
partial_after_success,2.0,20.025,8.15,0.0,0.5003489471906346,0.15224890942800773,0.34740214338135766,0.010274565652722403,0.00012640675735494777,0.025529648130738478,0.00039965986394557823,0.61,0.595,Partial after success
collapsed_after_success,22.0,20.529545454545453,0.11818181818181818,0.9181818181818181,0.16548974686713472,0.4244596261441264,0.41005062698873895,0.005301585641228019,5.97928589083052e-05,0.011847547907198469,6.944444444444444e-05,0.25636363636363635,0.855,Collapsed after success
never_reached_success,20.0,6.4325,0.8400000000000001,0.825,0.2290203994831387,0.3989482622430053,0.3720313382738561,0.004414926189835946,5.570471201481183e-05,0.010284568879910333,0.00014438737206594348,0.1815,0.89,Never reached success
