variant,variant_label,seed,run_id,run_dir,training_completed,total_env_steps,total_updates,total_episodes,wall_time_total_sec,env_steps_per_second,updates_per_second,final_return,final_return_median,final_return_std_within_eval,best_return,best_eval_step,area_under_eval_curve,normalized_auc,final_train_return_mean_last_100,final_train_return_std_last_100,success_threshold,first_reach_step,first_sustained_step,reached_threshold,collapse_count,largest_eval_drop,largest_eval_drop_fraction,eval_return_std_across_time,rolling_return_std_mean,td_loss_last10,td_error_abs_mean_last10,td_error_abs_p95_last10,grad_norm_mean_last10,grad_norm_max,gradient_clip_fraction,q_overestimation_proxy_last10,online_q_mean_last10,online_q_max_mean_last10,target_q_mean_last10,max_q_value_seen,replay_enabled,final_buffer_size,sample_age_mean_last10,sample_consecutive_transition_fraction_last10,target_network_enabled,target_update_count,online_target_param_l2_mean,online_target_param_l2_max,nan_detected,inf_detected,loss_explosion,q_value_explosion,gradient_explosion,early_terminated,use_target_network,use_replay_buffer,use_double_dqn,use_dueling_network,learning_rate,gamma,batch_size,target_update_frequency,epsilon_decay_steps,best_final_gap,final_solved
dqn,DQN baseline,0,lunarlander_v3_dqn_seed0_20260516_042846,output/full_lunarlander_10seeds_20260516_042845/lunarlander_v3/dqn/seed_0/lunarlander_v3_dqn_seed0_20260516_042846,True,500000.0,123751.0,1352.0,6605.129134481016,75.69874711303224,18.735591307969706,250.41310561092024,254.01139078241573,28.060236074953828,257.0788162376915,260000.0,23954198.27454022,47.908396549080436,220.41036031329818,86.69084291391253,200.0,260000.0,460000.0,True,12.0,269.6788228392431,1.0490122320693347,135.3722906004842,86.69084291391253,0.8915784542819833,1.1282773610295318,1.538480248393082,8.903221246723858,10.000000230828297,0.6178861788617886,0.05171817686499619,21.079136894970404,21.427058847939097,21.3753406710741,149.8445587158203,True,100000.0,50098.90637703252,0.0005161956381468576,True,501.0,0.3398641594807425,0.5095629409461865,False,False,False,False,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,6.665710626771272,True
dqn,DQN baseline,1,lunarlander_v3_dqn_seed1_20260516_042846,output/full_lunarlander_10seeds_20260516_042845/lunarlander_v3/dqn/seed_1/lunarlander_v3_dqn_seed1_20260516_042846,True,500000.0,123751.0,1648.0,6547.124385926989,76.36940594480647,18.901580710151492,231.41904309641745,249.9174828697631,58.97761711233273,276.4263519846596,450000.0,61022572.08192638,122.04514416385277,263.5738363599785,31.664353897454767,200.0,140000.0,260000.0,True,10.0,250.69754791604083,1.085635632357614,139.06352996496278,31.664353897454767,0.8849508673316095,1.1182005463576898,1.3369792501131694,8.817722081924261,10.000000986270559,0.6178861788617886,0.1501118109478214,34.89168450890518,35.27571732435769,35.12560551340987,169.5813751220703,True,100000.0,49999.07151930894,0.00038714672861014324,True,501.0,0.2908015097109421,0.4109351992493258,False,False,False,False,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,45.007308888242164,True
dqn,DQN baseline,2,lunarlander_v3_dqn_seed2_20260516_042846,output/full_lunarlander_10seeds_20260516_042845/lunarlander_v3/dqn/seed_2/lunarlander_v3_dqn_seed2_20260516_042846,True,500000.0,123751.0,1656.0,6455.938012383995,77.44807943336559,19.168554555916852,7.847503480223663,-4.653286973399463,72.4047532269276,258.2986742554058,340000.0,35601291.95172515,71.20258390345029,167.41557701963794,120.37125101924794,200.0,230000.0,,True,13.0,256.10729384850185,0.9915160988989936,127.69612704309135,120.37125101924794,1.1127809293386413,1.4182820916175842,3.0794395901323335,9.801987845967586,10.000001509196476,0.8373983739837398,0.24883726166515815,63.30088269613623,64.08605209598696,63.837214834321806,222.06497192382812,True,100000.0,49776.18343495935,0.0005161956381468576,True,501.0,0.3728393255140177,0.6295503645024512,False,False,False,False,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,250.45117077518213,False
dqn,DQN baseline,3,lunarlander_v3_dqn_seed3_20260516_042846,output/full_lunarlander_10seeds_20260516_042845/lunarlander_v3/dqn/seed_3/lunarlander_v3_dqn_seed3_20260516_042846,True,500000.0,123751.0,1864.0,6429.425708246999,77.76744342168102,19.247597781752898,262.41577068554915,274.9144745977886,41.01851046920385,280.03721177292323,430000.0,67476151.41013652,134.95230282027305,241.8393369235746,85.10390020281112,200.0,160000.0,210000.0,True,4.0,227.00471156882395,0.9434644790410865,154.50493638330053,85.10390020281112,0.7852376482593335,1.0425036004403743,1.7411280235623925,9.710643472232505,10.00000114163843,0.8373983739837398,0.15462208569534425,42.930858860170936,43.450345729424704,43.29572364372936,167.78863525390625,True,100000.0,49938.895452235774,0.0007742934572202865,True,501.0,0.34056193126111645,0.5533501554189665,False,False,False,False,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,17.62144108737408,True
dqn,DQN baseline,4,lunarlander_v3_dqn_seed4_20260516_042846,output/full_lunarlander_10seeds_20260516_042845/lunarlander_v3/dqn/seed_4/lunarlander_v3_dqn_seed4_20260516_042846,True,500000.0,123751.0,1345.0,6583.407394057984,75.94851268832114,18.79740878738486,148.93082195541245,179.99239772716174,100.92670986469454,221.9887446727836,230000.0,32169878.380925495,64.33975676185099,227.99994853060346,95.32190130927471,200.0,150000.0,,True,24.0,258.30918733620615,1.1636138927537056,118.47179163002338,95.32190130927471,0.6164735478720045,0.8570573194240166,1.1031041004793432,8.75864940621048,10.000000743800747,0.5772357723577236,0.09486800868336748,19.370324964445782,19.714152088010213,19.619284079326846,145.81285095214844,True,100000.0,49551.423653455284,0.000645244547683572,True,501.0,0.2752403303096297,0.42359801729822294,False,False,False,True,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,73.05792271737116,False
dqn,DQN baseline,5,lunarlander_v3_dqn_seed5_20260516_042846,output/full_lunarlander_10seeds_20260516_042845/lunarlander_v3/dqn/seed_5/lunarlander_v3_dqn_seed5_20260516_042846,True,500000.0,123751.0,1699.0,6396.384103678982,78.16916431150797,19.347024505426848,207.4915949033872,250.1353447623124,118.22043298006531,276.94133974624435,390000.0,63413510.31378728,126.82702062757457,209.97945975582417,106.07528567025227,200.0,140000.0,230000.0,True,8.0,391.1660245055419,1.5407191780708547,154.0307676335474,106.07528567025227,0.7228873848793952,0.9578964149321967,1.785788739115242,9.4774684047419,10.000001061428282,0.7317073170731707,0.2256478720564183,44.01180340216412,44.47089475926345,44.24524688720703,181.19293212890625,True,100000.0,50195.13097052846,0.0002580978190734288,True,501.0,0.33597168959469786,0.5222254254864691,False,False,False,False,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,69.44974484285714,True
dqn,DQN baseline,6,lunarlander_v3_dqn_seed6_20260516_042846,output/full_lunarlander_10seeds_20260516_042845/lunarlander_v3/dqn/seed_6/lunarlander_v3_dqn_seed6_20260516_042846,True,500000.0,123751.0,1527.0,6546.104522766022,76.38130406581526,18.904525518897408,228.67870358435954,260.85735418494977,80.04095666770284,259.5292922142947,470000.0,15001075.726749558,30.002151453499117,244.38915470540167,76.06408717269505,200.0,360000.0,440000.0,True,4.0,109.0606200818197,0.4390806600845194,142.14972251635285,76.06408717269505,0.8324879382441683,1.0933235307049944,1.4577986990533225,9.361538238521945,10.000000918481922,0.7073170731707317,0.24124204434030425,44.11704706951855,44.599461098027426,44.35821905368712,163.38702392578125,True,100000.0,50340.56821646341,0.0009033423667570009,True,501.0,0.3749011147838439,0.5865001743488283,False,False,False,False,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,30.850588629935146,True
dqn,DQN baseline,7,lunarlander_v3_dqn_seed7_20260516_042846,output/full_lunarlander_10seeds_20260516_042845/lunarlander_v3/dqn/seed_7/lunarlander_v3_dqn_seed7_20260516_042846,True,500000.0,123751.0,1280.0,6605.534183593991,75.6941052915657,18.734442447873093,237.05980617589498,247.2452071194364,57.38902688927885,240.75983459795557,250000.0,24944124.003223337,49.88824800644667,238.66113989317063,68.17289374822968,200.0,250000.0,,True,14.0,252.7121679949862,1.0496442166816977,122.14942691598459,68.17289374822968,0.5779917061147166,0.7912536464570984,0.8873096302272828,8.096108449829003,10.000000772206082,0.43089430894308944,0.05784490631847847,20.22997366122114,20.503895348649685,20.446050442331206,171.57936096191406,True,100000.0,50417.27820121951,0.0001290489095367144,True,501.0,0.2861364257851227,0.46905738532061547,False,False,False,False,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,3.7000284220605977,True
dqn,DQN baseline,8,lunarlander_v3_dqn_seed8_20260516_042846,output/full_lunarlander_10seeds_20260516_042845/lunarlander_v3/dqn/seed_8/lunarlander_v3_dqn_seed8_20260516_042846,True,500000.0,123751.0,1625.0,6530.460523538,76.56427876683887,18.949812123350156,260.6969425560636,259.7636591181193,21.87520217089657,273.9316931223806,490000.0,59018555.89873432,118.03711179746865,247.6459013964929,66.28812390078683,200.0,160000.0,190000.0,True,9.0,221.9045403644257,0.8291972519361829,146.34878096598823,66.28812390078683,0.7929165890304054,1.0303654820938422,1.7120427726730099,9.543960558523029,10.000000508269283,0.7723577235772358,0.197091404984637,38.063626979424704,38.56573829030603,38.36864688532139,156.70823669433594,True,100000.0,49874.92454268293,0.0005161956381468576,True,501.0,0.33017923168360114,0.5053209753843745,False,False,False,False,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,13.234750566316961,True
dqn,DQN baseline,9,lunarlander_v3_dqn_seed9_20260516_042846,output/full_lunarlander_10seeds_20260516_042845/lunarlander_v3/dqn/seed_9/lunarlander_v3_dqn_seed9_20260516_042846,True,500000.0,123751.0,1533.0,6523.2730615340115,76.64863869464021,18.970691374200843,245.30896523375495,257.56817177507355,54.757627172313065,257.41310163389255,290000.0,36652123.428140596,73.3042468562812,243.7228030438229,78.46796392639898,200.0,280000.0,390000.0,True,4.0,275.2304684292146,1.0692170160812675,138.97838609332027,78.46796392639898,0.7636582737531119,1.006473962369004,1.5395910957964456,8.867672997932225,10.000000681518554,0.5934959349593496,0.25234816326358456,40.0848729513525,40.65721350569066,40.40486534242707,158.16299438476562,True,100000.0,49807.115472560974,0.00038714672861014324,True,501.0,0.33121141267708853,0.5266444968425643,False,False,False,False,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,12.104136400137605,True
