variant,variant_label,n,final_eval_return_mean_mean,final_eval_return_mean_std,final_eval_return_mean_ci95,final_eval_success_rate_mean,final_eval_success_rate_std,final_eval_success_rate_ci95,landing_success_rate_mean,landing_success_rate_std,landing_success_rate_ci95,crash_rate_mean,crash_rate_std,crash_rate_ci95,timeout_rate_mean,timeout_rate_std,timeout_rate_ci95,both_legs_contact_rate_mean,both_legs_contact_rate_std,both_legs_contact_rate_ci95,one_leg_contact_rate_mean,one_leg_contact_rate_std,one_leg_contact_rate_ci95,no_leg_contact_rate_mean,no_leg_contact_rate_std,no_leg_contact_rate_ci95,main_engine_fraction_mean,main_engine_fraction_std,main_engine_fraction_ci95,side_engine_fraction_mean,side_engine_fraction_std,side_engine_fraction_ci95,episode_length_mean_mean,episode_length_mean_std,episode_length_mean_ci95,action_entropy_mean_mean,action_entropy_mean_std,action_entropy_mean_ci95
dqn,DQN baseline,10,208.0262257281983,77.67442609358811,55.561076763367126,0.75,0.30731814857642953,0.21982688643566778,0.75,0.30731814857642953,0.21982688643566778,0.005,0.015811388300841896,0.011309999999999999,0.15500000000000003,0.2891078230234065,0.20680090933068934,0.775,0.28111879655721667,0.20108630112466636,0.08499999999999999,0.08834905520465715,0.0631967158956856,0.14,0.2960855732160327,0.2117921443302371,0.4641799569846441,0.06692206364006191,0.04786983441098583,0.23396534927711782,0.053866476087651716,0.03853107854665119,420.64,226.7824664984291,162.21913264635094,1.1502940076779065,0.05258927445002121,0.037617487010806624
dqn_no_target,DQN without target network,10,149.29788317258303,115.79353405068942,82.8279493992039,0.4999999999999999,0.3535533905932738,0.25289928825522623,0.4999999999999999,0.3535533905932738,0.25289928825522623,0.13,0.3198958163736021,0.22882378285484226,0.29500000000000004,0.3491656722340652,0.2497607216917824,0.71,0.3323318288163871,0.2377193521781514,0.18,0.2335713072180647,0.16707523933844898,0.11000000000000001,0.3142893217686178,0.22481341685940365,0.36187733573297065,0.11299085475042839,0.08082317269757396,0.3259858051745674,0.15868000143020786,0.11350494858696825,454.215,302.62869535125054,216.4724867480736,1.1583957222704018,0.10119776586625771,0.07238749122911818
dqn_no_replay,DQN without replay buffer,10,-260.6061159320087,227.3396796029512,162.61771119570005,0.015000000000000003,0.03374742788552765,0.02413977837512184,0.015000000000000003,0.03374742788552765,0.02413977837512184,0.7649999999999999,0.3223610811910561,0.23058720454526524,0.155,0.2650471656139714,0.18959014768705673,0.14,0.23428377854407437,0.1675848752125322,0.125,0.16372402253657084,0.11711297323524837,0.7350000000000001,0.29064105391740896,0.20789764043875053,0.57126293607565,0.10380923166438598,0.07425549153464847,0.3250735692642884,0.15678824887836088,0.11215176435328207,383.46000000000004,216.87462686487274,155.13198355334208,0.9850573155334892,0.19929178724256358,0.14255485165672502
double_dqn,Double DQN,10,219.65427141669542,54.54086148112945,39.01347127871932,0.74,0.20789954839350236,0.1487120452418028,0.74,0.20789954839350236,0.1487120452418028,0.0,0.0,0.0,0.16499999999999998,0.18715709384839724,0.13387481802041784,0.845,0.16064107680028653,0.1149077199321264,0.09999999999999999,0.08164965809277261,0.05840458886080785,0.05500000000000001,0.1571446608843089,0.11240670842970182,0.40093193569962066,0.060556369915366906,0.043316407813874996,0.31430107741219715,0.09816358226014521,0.07021711782912363,419.1049999999999,148.98217725247838,106.56802506303707,1.1669383344049877,0.08036890469156222,0.05748845672287798
dueling_dqn,Dueling DQN,10,205.48970843692564,72.0907151824888,51.567008108360355,0.6900000000000001,0.36040101122068025,0.2577974406389637,0.6900000000000001,0.36040101122068025,0.2577974406389637,0.005,0.015811388300841896,0.011309999999999999,0.11500000000000002,0.20145305491189092,0.1441008219962676,0.85,0.10540925533894598,0.0754,0.125,0.08579691784155834,0.06137115364729589,0.025000000000000022,0.026352313834736497,0.018850000000000002,0.4161198816892691,0.07437902334587122,0.0532038514288471,0.2571037599594075,0.1280929197868614,0.09162578865464097,339.11,173.22049019161165,123.90586498737824,1.1285578320045995,0.0484118593886461,0.0346293519119022
double_dueling_dqn,Double + Dueling DQN,10,219.84977227983381,84.01945151772264,60.09971917613618,0.775,0.36533850361304954,0.2613292645304004,0.775,0.36533850361304954,0.2613292645304004,0.01,0.03162277660168379,0.022619999999999998,0.18,0.360709178024501,0.2580178745746116,0.76,0.29040202019499334,0.2077266578944551,0.13,0.10852547064066471,0.07762905126304198,0.11000000000000001,0.31340424729448424,0.22418031670956307,0.4262618497776701,0.10122373426995708,0.07240606661543163,0.24585837504231364,0.12462185914203952,0.08914291396040268,382.84000000000003,272.944047786762,195.2388444159522,1.1436307107200412,0.07523588107604998,0.05381676793838634
