variant,variant_label,n,final_return_mean,final_return_std,final_return_ci95,final_return_median,final_return_min,final_return_max,final_solved_rate,final_solved_count,best_return_mean,best_return_std,best_return_ci95,normalized_auc_mean,normalized_auc_std,normalized_auc_ci95,threshold_reach_rate,threshold_reach_count,first_reach_step_median,first_reach_step_mean,first_sustained_step_median,collapse_count_mean,collapse_count_ci95,largest_eval_drop_mean,eval_return_std_across_time_mean,best_final_gap_mean,best_final_gap_ci95,td_loss_last10_mean,td_loss_last10_ci95,td_error_abs_p95_last10_mean,td_error_abs_p95_last10_ci95,gradient_clip_fraction_mean,gradient_clip_fraction_ci95,q_overestimation_proxy_last10_mean,q_overestimation_proxy_last10_ci95,max_q_value_seen_mean,sample_age_mean_last10_mean,sample_consecutive_transition_fraction_last10_mean,online_target_param_l2_mean,env_steps_per_second_mean,wall_time_total_sec_mean,failure_rate
dqn,DQN baseline,10,208.0262257281983,77.67442609358811,55.561076763367126,234.23942463615623,7.847503480223663,262.41577068554915,0.8,8,260.2405060238232,18.212384243277878,13.027449700954156,83.85069629397779,38.12655415577712,27.27219895541234,1.0,10,195000.0,213000.0,260000.0,10.2,4.38099305637432,251.18713848848037,137.87657597470556,52.214280295624825,52.936453576990225,0.798096333910537,0.1079456323089467,1.6181662149545624,0.420086800374846,0.6723577235772358,0.09195326284992524,0.167433173482011,0.05575670569821427,168.61229400634767,49999.949784044715,0.0005032907471931862,0.32777071308008027,76.66896797315745,6522.278103020799,0.1
dqn_no_target,DQN without target network,10,149.29788317258303,115.79353405068942,82.8279493992039,181.50939674782012,-69.49958199936898,263.0185373511305,0.4,4,259.7732474851511,9.887835933344917,7.072840302086339,62.648142518258894,37.559213385558685,26.86637601380329,1.0,10,200000.0,186000.0,,18.8,3.6442466656361225,292.2351528391247,129.48670927506507,110.4753643125681,80.95512777071086,0.7256884357127232,0.12034918622193277,1.4750910055346604,0.196025621067588,0.07235772357723577,0.048844863240141353,0.18561850253159437,0.04234374581291937,260.2179885864258,49999.949784044715,0.0005032907471931862,,82.59791204583348,6054.163265213903,1.0
dqn_no_replay,DQN without replay buffer,10,-260.6061159320087,227.3396796029512,162.61771119570005,-222.35079215288653,-723.5482418018221,7.080555355783841,0.0,0,127.58699636501069,56.09020916912352,40.12173084567208,-180.64854619637077,72.45816588131454,51.82984824134842,0.1,1,80000.0,80000.0,,4.2,9.500399999999999,143.26189997931618,218.2264491904657,388.1931122970194,176.0443304860103,1.7471832965476337,0.867736323276258,2.1215315671026707,0.8764663025024272,0.8911999999999999,0.04269105119530321,-3.0092664425075055,1.4338427460987757,2443.828073120117,0.0,1.0,0.7303250765530529,23.756617771287168,21046.860075812503,1.0
double_dqn,Double DQN,10,219.65427141669542,54.54086148112945,39.01347127871932,233.4946623126292,99.2960768783029,264.15241624548423,0.8,8,267.2474386544395,5.526847949122899,3.9533941685090124,66.68705615492448,30.824065486653485,22.048676183323394,1.0,10,250000.0,261000.0,310000.0,9.6,3.075728570599168,224.06348205309874,133.55691948405575,47.5931672377441,38.121463014947,0.7838377584741125,0.10098281158141327,1.4711632517779745,0.24003104795872562,0.6439024390243901,0.08150011675046288,0.19804938033344302,0.057867530122539326,162.50702209472655,49999.949784044715,0.0005032907471931862,0.31871474019538837,73.36932834476372,6814.941057056794,0.2
dueling_dqn,Dueling DQN,10,205.48970843692564,72.0907151824888,51.567008108360355,226.56246390084664,41.7773827996362,268.90336867248084,0.7,7,268.32657960368545,10.645032710802267,7.61446861391438,66.23216738835946,44.45030950913731,31.795626733268854,1.0,10,240000.0,255000.0,370000.0,9.7,5.395711663904956,261.43495817938395,133.42523799429054,62.836871166759806,49.9855166599274,0.738016609147918,0.10714775716612862,1.3227369410478003,0.23502581684324866,0.5747967479674797,0.1247603326971897,0.1392267116686193,0.06229081309325716,159.76403045654297,49999.949784044715,0.0005032907471931862,0.33080661865535793,38.486380770068166,12993.385741921302,0.5
double_dueling_dqn,Double + Dueling DQN,10,219.84977227983381,84.01945151772264,60.09971917613618,257.70387294265237,-1.5184736927982831,268.45064480409224,0.8,8,258.27202277016966,36.14551312678669,25.85514603054749,65.6845311020276,42.026573677379645,30.061911025602647,0.9,9,290000.0,261111.11111111112,340000.0,6.2,3.1953947111428973,187.5757788628501,133.5444944029511,38.422250490335834,37.06772031086404,0.8361044745104825,0.18819527463947652,1.8601201601629338,0.4053450808491496,0.7373983739837399,0.08265613957202271,0.1882679629616621,0.0399222802543723,151.95437622070312,49999.949784044715,0.0005032907471931862,0.32446317733512864,37.347106487168915,13388.470825410794,0.4
