variant,variant_label,n_shared_seeds,final_delta_mean,final_delta_ci95,final_delta_median,final_win_rate_vs_baseline,best_delta_mean,best_delta_ci95,normalized_auc_delta_mean,normalized_auc_delta_ci95,first_reach_step_delta_mean,first_reach_step_delta_ci95,paired_reach_count,collapse_delta_mean,collapse_delta_ci95
dqn_no_target,DQN without target network,10,-58.7283425556153,86.75402103245519,-27.250944040246196,0.4,-0.4672585386720186,13.996901701398508,-21.202553775718876,38.930592850121926,-27000.0,76303.16085195946,10,8.6,4.625899073693675
dqn_no_replay,DQN without replay buffer,10,-468.63234166020703,190.0582172817388,-428.0240884733673,0.0,-132.65350965881242,42.32681441534486,-264.4992424903486,51.594213965879305,-280000.0,,1,-6.0,11.79232859107988
double_dqn,Double DQN,10,11.628045688497124,69.14983320193956,7.466559203451766,0.6,7.006932630616399,14.467192148428122,-17.163640139053292,32.52842161588158,48000.0,56303.15458302491,10,-0.6,4.912007638430542
dueling_dqn,Dueling DQN,10,-2.536517291272685,73.51200894483635,0.5925914997041701,0.6,8.086073579862296,13.525166497877503,-17.618528905618323,23.423184243462114,42000.0,76284.53169548856,10,-0.5,6.558066437601863
double_dueling_dqn,Double + Dueling DQN,10,11.823546551635497,94.76642292650095,19.339868777566153,0.7,-1.9684832536534913,33.06828792404012,-18.166165191950164,46.38945105743223,42222.22222222222,61586.676840023865,9,-4.0,3.8594195418482298
