variant,variant_label,phase,n,return_mean,return_std,return_ci95
dqn,DQN baseline,early: 10k-100k,10,-112.13244623992145,9.149790420059396,6.5449110275384
dqn,DQN baseline,middle: 110k-300k,10,82.857515934138,66.50796677089588,47.573627936186995
dqn,DQN baseline,late: 310k-500k,10,184.44885946101493,41.40647249182139,29.61834817867096
dqn_no_target,DQN without target network,early: 10k-100k,10,-96.28565655680231,41.8205360118781,29.914530798611548
dqn_no_target,DQN without target network,middle: 110k-300k,10,73.51802886782572,54.902907990237416,39.27244575585572
dqn_no_target,DQN without target network,late: 310k-500k,10,130.36797805329553,40.59304800335494,29.03649977994017
dqn_no_replay,DQN without replay buffer,early: 10k-100k,10,-55.804518717490666,41.74112822576323,29.8577298369331
dqn_no_replay,DQN without replay buffer,middle: 110k-300k,10,-139.7112481610744,46.07628106953327,32.95869590835825
dqn_no_replay,DQN without replay buffer,late: 310k-500k,10,-291.6254721179457,147.46423007524965,105.48222650772978
double_dqn,Double DQN,early: 10k-100k,10,-102.9067216823037,13.837717079627396,9.898218751749495
double_dqn,Double DQN,middle: 110k-300k,10,42.358794258227825,49.219568352728366,35.20711195485074
double_dqn,Double DQN,late: 310k-500k,10,177.74070654619368,37.42109179789082,26.767576646739464
dueling_dqn,Dueling DQN,early: 10k-100k,10,-103.04374695268514,19.202723565181866,13.735846555020267
dueling_dqn,Dueling DQN,middle: 110k-300k,10,45.402016214769276,57.98067332082706,41.473993477450506
dueling_dqn,Dueling DQN,late: 310k-500k,10,172.6444700706102,55.38659140908338,39.61842799113209
double_dueling_dqn,Double + Dueling DQN,early: 10k-100k,10,-102.82136997712487,22.816696692835812,16.320947578160006
double_dueling_dqn,Double + Dueling DQN,middle: 110k-300k,10,29.794260165680946,52.40124185096506,37.48298593760157
double_dueling_dqn,Double + Dueling DQN,late: 310k-500k,10,186.50094092518546,65.81548535719668,47.078290990441324
