variant,variant_label,n,final_score_mean,final_score_std,final_score_ci95,score_std_within_eval_mean,score_std_within_eval_std,score_std_within_eval_ci95,zero_score_rate_mean,zero_score_rate_std,zero_score_rate_ci95,action_up_fraction_mean,action_up_fraction_std,action_up_fraction_ci95,action_down_fraction_mean,action_down_fraction_std,action_down_fraction_ci95,action_noop_fraction_mean,action_noop_fraction_std,action_noop_fraction_ci95,episode_length_mean,episode_length_std,episode_length_ci95,action_entropy_mean,action_entropy_std,action_entropy_ci95,score_5_0_success_rate_mean,score_5_0_success_rate_std,score_5_0_success_rate_ci95,score_10_0_success_rate_mean,score_10_0_success_rate_std,score_10_0_success_rate_ci95,score_15_0_success_rate_mean,score_15_0_success_rate_std,score_15_0_success_rate_ci95,score_22_5_success_rate_mean,score_22_5_success_rate_std,score_22_5_success_rate_ci95
dqn,DQN baseline,4,28.2875,0.8419966349893173,1.339616646268004,1.3400794980090733,0.26410083684267155,0.42018443141669043,0.0,0.0,0.0,0.7983250685457388,0.020560467940209114,0.0327117044928727,0.10030123415814658,0.036366594098576774,0.05785925121083565,0.10137369729611462,0.038562537062275026,0.061352996466079564,2044.5875,0.17017148213890237,0.27074282808299366,0.630631342869923,0.03759381886066816,0.059811765807323045,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
dqn_no_target,DQN without target network,4,27.237499999999997,1.3768169813014375,2.190515817250587,1.2492928365085454,0.3133526419194685,0.49854405329387436,0.0,0.0,0.0,0.7619162331353413,0.04618642705195681,0.07348260543966328,0.09448681853152394,0.04126298885842747,0.0656494152737581,0.14359694833313486,0.0256621889789394,0.04082854266549259,2044.5875,0.17017148213890237,0.27074282808299366,0.696802196750726,0.10120996318895988,0.16102505143363516,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.975,0.04999999999999999,0.07954999999999998
dqn_no_replay,DQN without replay buffer,4,5.8375,11.178653392366485,17.785237547255075,0.5513138216042607,0.6169041741989922,0.9814945411505966,0.5625,0.4714781719938545,0.7501217716422225,0.3004670985019961,0.45633247503589514,0.7260249677821091,0.05442409567554623,0.09744418348655512,0.1550336959271092,0.6451088058224578,0.4527703829230113,0.720357679230511,2044.5875,0.17017148213890237,0.27074282808299366,0.31899779260895095,0.3880870487505059,0.6174464945620549,0.25,0.5,0.7955,0.25,0.5,0.7955,0.25,0.5,0.7955,0.1625,0.325,0.5170750000000001
double_dqn,Double DQN,4,29.349999999999998,1.2549900398011131,1.9966891533235709,1.138866612766761,0.3146062900942803,0.50053860754,0.0,0.0,0.0,0.7995907004326158,0.016009545299051277,0.02547118657079058,0.08929511905452776,0.01752862497742109,0.027888042339076956,0.11111418051285644,0.014979906780243179,0.023833031687366897,2044.5875,0.17017148213890237,0.27074282808299366,0.6346499882698576,0.032863825867594794,0.052286346955343316,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
dueling_dqn,Dueling DQN,4,28.8625,0.9507672340448694,1.5126706693653873,0.9897858677720008,0.28507060168509646,0.45354732728098845,0.0,0.0,0.0,0.7792057533822707,0.03111336155117082,0.049501358227912774,0.06694514190594017,0.017024298219922594,0.02708565846789685,0.15384910471178903,0.047705223719119144,0.07589901093711855,2044.5875,0.17017148213890237,0.27074282808299366,0.6546326193259377,0.03586015114969857,0.057053500479170426,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
double_dueling_dqn,Double + Dueling DQN,4,28.300000000000004,0.9582971007643359,1.5246506873160584,1.082705449869259,0.25560101414354386,0.40666121350237827,0.0,0.0,0.0,0.7939782515889784,0.01754619470428977,0.027915995774525023,0.07470305924055767,0.01571497977825308,0.02500253282720065,0.13131868917046394,0.029634361226881883,0.047148268711969074,2044.5875,0.17017148213890237,0.27074282808299366,0.6376275031324805,0.02451653270955192,0.039005803540897103,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
