variant,variant_label,n_shared_seeds,final_delta_mean,final_delta_ci95,final_delta_median,final_win_rate_vs_baseline,best_delta_mean,best_delta_ci95,normalized_auc_delta_mean,normalized_auc_delta_ci95,first_reach_step_delta_mean,first_reach_step_delta_ci95,paired_reach_count,collapse_delta_mean,collapse_delta_ci95
dqn_no_target,DQN without target network,4,-1.049999999999998,3.170710389118923,-0.6999999999999975,0.25,0.2624999999999993,1.2898798034280832,4.9232499999999995,0.8984787184264332,-142500.0,155003.4692891313,4,-10.5,17.69279750821409
dqn_no_replay,DQN without replay buffer,4,-22.45,19.013947744353356,-28.174999999999997,0.0,-7.462500000000002,5.773954695061694,-10.819812499999998,12.550056836578177,-165000.0,214440.9899405118,4,56.75,60.23954061563994
double_dqn,Double DQN,4,1.0625000000000009,1.6538940506045121,1.1250000000000018,0.75,0.6874999999999991,1.965142634931368,-0.6316874999999995,1.3996414411291838,40000.0,268434.59625515237,4,0.5,25.139142580180945
dueling_dqn,Dueling DQN,4,0.5750000000000011,2.664232310472692,0.07500000000000107,0.75,0.6375000000000002,2.2049130528492484,1.0536250000000007,2.6782695340851186,47500.0,459718.2501181204,4,-7.5,42.700890861120605
double_dueling_dqn,Double + Dueling DQN,4,0.012500000000001954,1.5647642050135424,0.20000000000000284,0.75,0.1374999999999993,1.1859354980879013,-0.45118749999999963,3.0843838857144426,-52500.0,424208.6574925913,4,8.5,36.616050710947334
