variant,variant_label,n,final_score_mean,final_score_std,final_score_ci95,final_score_median,final_score_min,final_score_max,final_solved_rate,final_solved_count,best_score_mean,best_score_std,best_score_ci95,normalized_auc_mean,normalized_auc_std,normalized_auc_ci95,threshold_reach_rate,threshold_reach_count,first_reach_step_median,first_reach_step_mean,first_sustained_step_median,collapse_count_mean,collapse_count_ci95,largest_eval_drop_mean,eval_score_std_across_time_mean,best_final_gap_mean,best_final_gap_ci95,td_loss_last10_mean,td_loss_last10_ci95,td_error_abs_p95_last10_mean,td_error_abs_p95_last10_ci95,gradient_clip_fraction_mean,gradient_clip_fraction_ci95,q_overestimation_proxy_last10_mean,q_overestimation_proxy_last10_ci95,max_q_value_seen_mean,sample_age_mean_last10_mean,sample_consecutive_transition_fraction_last10_mean,online_target_param_l2_mean,env_steps_per_second_mean,wall_time_total_sec_mean,final_zero_score_rate_mean,final_zero_score_rate_ci95,failure_rate,score_5_0_reach_rate,score_5_0_reach_count,score_5_0_first_reach_step_median,score_10_0_reach_rate,score_10_0_reach_count,score_10_0_first_reach_step_median,score_15_0_reach_rate,score_15_0_reach_count,score_15_0_first_reach_step_median,score_22_5_reach_rate,score_22_5_reach_count,score_22_5_first_reach_step_median
dqn,DQN baseline,4,28.2875,0.8419966349893173,1.339616646268004,28.525,27.15,28.95,1.0,4,29.05,0.8784455968736291,1.3976069446259438,15.959999999999999,0.9790162366716219,1.5576148325445502,1.0,4,220000.0,197500.0,435000.0,20.0,22.425011898919173,18.2125,11.235757793118946,0.762500000000002,1.0778462362314654,0.00031547931057688476,0.00010809461869103849,0.045197413386586976,0.008013769214184962,0.0,0.0,0.0013188587159526591,0.003974240355738504,2.579271674156189,12518.305835459183,0.0013495720868992758,0.18326037298533376,65.02100921309099,15380.105044679503,0.0,0.0,0.0,1.0,4,65000.0,1.0,4,95000.0,1.0,4,220000.0,1.0,4,510000.0
double_dqn,Double DQN,4,29.349999999999998,1.2549900398011131,1.9966891533235709,28.85,28.5,31.2,1.0,4,29.7375,1.0160175523418218,1.6164839257758383,15.3283125,0.6169198143127415,0.9815194245715716,1.0,4,245000.0,237500.0,455000.0,20.5,36.754051391195866,13.625,11.531303500579334,0.3875000000000002,0.6507397462055545,0.00029773859947751166,4.363619295732488e-05,0.044327274749853776,0.003786280739758062,0.0,0.0,0.006043187331180184,0.001255774582466898,1.8568893074989319,12518.305835459183,0.0013495720868992758,0.17234792781434755,74.41748217109962,13437.91545468625,0.0,0.0,0.0,1.0,4,40000.0,1.0,4,40000.0,1.0,4,245000.0,1.0,4,510000.0
dueling_dqn,Dueling DQN,4,28.8625,0.9507672340448694,1.5126706693653873,28.625,28.05,30.15,1.0,4,29.6875,0.5498105734402222,0.8747486223433936,17.013625,1.0220954476792605,1.6261538572577035,1.0,4,295000.0,245000.0,430000.0,12.5,22.217105909636384,14.662499999999998,11.396469034268645,0.8250000000000011,0.9104913659667501,0.0003014958807583827,5.6915917899197175e-05,0.04415972235859657,0.003978896574590712,0.0,0.0,0.0007646559452523991,0.0011365081669126303,2.7872467041015625,12518.305835459183,0.0013495720868992758,0.18713727891241827,67.85349741184137,14737.704814423749,0.0,0.0,0.0,1.0,4,50000.0,1.0,4,170000.0,1.0,4,295000.0,1.0,4,460000.0
double_dueling_dqn,Double + Dueling DQN,4,28.300000000000004,0.9582971007643359,1.5246506873160584,28.35,27.35,29.15,1.0,4,29.1875,0.20155644370746345,0.3206763019385743,15.508812500000001,1.1660094763587185,1.8551210768867212,1.0,4,35000.0,145000.0,475000.0,28.5,30.479175300522815,16.125,11.73846601268675,0.8874999999999993,1.4116856722697384,0.00029005765973124655,5.706077748758488e-05,0.042791450721192725,0.00459590834406964,0.0,0.0,0.0047179039643735305,0.0009384614574882128,1.7598154842853546,12518.305835459183,0.0013495720868992758,0.17386879569154512,67.41716678100036,14833.479005408251,0.0,0.0,0.0,1.0,4,30000.0,1.0,4,30000.0,1.0,4,35000.0,1.0,4,520000.0
