variant,variant_label,n_shared_seeds,final_delta_mean,final_delta_ci95,final_delta_median,final_win_rate_vs_baseline,best_delta_mean,best_delta_ci95,normalized_auc_delta_mean,normalized_auc_delta_ci95,first_reach_step_delta_mean,first_reach_step_delta_ci95,paired_reach_count,collapse_delta_mean,collapse_delta_ci95
dqn_no_target,DQN without target network,5,-12.315102115798169,145.12350409191262,0.6027666655813277,0.6,-3.505288685731324,30.310087479388738,-32.40941991717578,52.03578645922782,18000.0,118232.8349655881,5,5.2,7.260182080361345
dqn_no_replay,DQN without replay buffer,5,-293.3382025834209,219.08940203404424,-339.13707101226777,0.0,-150.03412200847893,65.96871228315965,-267.39491355232377,126.98854172236994,,,0,-12.6,9.020932244507769
double_dqn,Double DQN,5,47.738243445590626,152.84844768753956,29.30873754036213,0.8,8.55730707322187,33.17039249663045,-27.89328723032553,51.24566453311507,70000.0,96163.46083622405,5,-0.8,11.323902535786857
dueling_dqn,Dueling DQN,5,49.46213811864895,105.20974894288568,25.71934623420185,0.8,13.063083126514261,29.161836067456573,-25.6172347961403,44.50985084558921,90000.0,58887.852737215675,5,-5.0,5.888785273721567
double_dueling_dqn,Double + Dueling DQN,5,29.794812480780003,236.70626421941614,23.678276396340294,0.8,-11.525907121282524,81.96483559922616,-28.877225176727983,102.02544142423069,25000.0,117274.43640168702,4,-4.2,8.663610923858482
