variant,variant_label,n,final_eval_return_mean_mean,final_eval_return_mean_std,final_eval_return_mean_ci95,final_eval_success_rate_mean,final_eval_success_rate_std,final_eval_success_rate_ci95,landing_success_rate_mean,landing_success_rate_std,landing_success_rate_ci95,crash_rate_mean,crash_rate_std,crash_rate_ci95,timeout_rate_mean,timeout_rate_std,timeout_rate_ci95,both_legs_contact_rate_mean,both_legs_contact_rate_std,both_legs_contact_rate_ci95,one_leg_contact_rate_mean,one_leg_contact_rate_std,one_leg_contact_rate_ci95,no_leg_contact_rate_mean,no_leg_contact_rate_std,no_leg_contact_rate_ci95,main_engine_fraction_mean,main_engine_fraction_std,main_engine_fraction_ci95,side_engine_fraction_mean,side_engine_fraction_std,side_engine_fraction_ci95,episode_length_mean_mean,episode_length_mean_std,episode_length_mean_ci95,action_entropy_mean_mean,action_entropy_mean_std,action_entropy_mean_ci95
dqn,DQN baseline,5,180.20524896570458,106.06112381439198,131.67116683007004,0.62,0.39937451095431714,0.4958094537218909,0.62,0.39937451095431714,0.4958094537218909,0.0,0.0,0.0,0.27,0.39147158262126763,0.48599824526432184,0.73,0.3898717737923585,0.48401213869075627,0.030000000000000006,0.027386127875258306,0.03399891762983051,0.24000000000000005,0.4114000486144842,0.5107387371249609,0.4873604000913808,0.07117824591674521,0.08836529687519451,0.22820241644128086,0.0712633463074157,0.08847094602668651,524.95,296.698908828462,368.34129337549973,1.1440396085588707,0.07207298631307706,0.08947608570863348
dqn_no_target,DQN without target network,5,167.89014684990644,111.24779594591116,138.1102384423724,0.5199999999999999,0.3751666296460814,0.46575621777921544,0.5199999999999999,0.3751666296460814,0.46575621777921544,0.0,0.0,0.0,0.42000000000000004,0.3817721833764215,0.47395678115203704,0.7,0.4138236339311712,0.5137475333274116,0.1,0.1457737973711325,0.18097305876842548,0.2,0.447213595499958,0.5552,0.39697616840589023,0.11652331467605508,0.14465960999200406,0.2403652020792908,0.13031715350080766,0.16178417729622716,571.41,296.02801049900665,367.5083966204331,1.1037641827724776,0.09795811105254551,0.12161156056888787
dqn_no_replay,DQN without replay buffer,5,-113.13295361771634,117.25385636867274,145.56655189140648,0.030000000000000006,0.0447213595499958,0.05552,0.030000000000000006,0.0447213595499958,0.05552,0.6,0.39528470752104744,0.49073210614346396,0.25,0.3570714214271425,0.44329165117335556,0.21000000000000002,0.30700162866017505,0.3811317588446284,0.13999999999999999,0.14747881203752625,0.18308977470082807,0.65,0.26220221204253785,0.32551485373174593,0.5131719320500124,0.06331147049730294,0.07859897099238768,0.33653055958219624,0.14939125971393835,0.18546401144279692,490.64,236.59085569818632,293.71925273601255,1.104816437096001,0.08238895400513792,0.10228299793192863
double_dqn,Double DQN,5,227.9434924112952,47.074345067499294,58.44114902691518,0.78,0.20493901531919195,0.25442460258394817,0.78,0.20493901531919195,0.25442460258394817,0.0,0.0,0.0,0.07,0.08366600265340757,0.10386840905684462,0.95,0.04999999999999999,0.06207324705539414,0.05,0.05,0.06207324705539416,-2.7755575615628915e-18,2.844100168142183e-17,3.5308506477475553e-17,0.401589878057455,0.030322574855956623,0.03764441360778956,0.3502515809647088,0.07779713520990106,0.09658241588172183,341.48,59.462872870388615,73.82107196614254,1.2109823339791035,0.02494899577855339,0.03097330357492261
dueling_dqn,Dueling DQN,5,229.66738708435355,28.041275441902144,34.812260365070976,0.8400000000000001,0.15572411502397435,0.19332602928731552,0.8400000000000001,0.15572411502397435,0.19332602928731552,0.01,0.022360679774997897,0.027759999999999996,0.05,0.07071067811865475,0.0877848278462742,0.8400000000000001,0.1387443692551161,0.1722462702063531,0.13999999999999999,0.11401754250991379,0.1415487816973357,0.02000000000000003,0.027386127875258317,0.03399891762983052,0.43042256797825307,0.05762764123501462,0.07154269623201363,0.1977092255068441,0.0239800523196792,0.029770394240814492,302.31,58.099810670947974,72.12887803298759,1.1111970589500526,0.044565763468852646,0.055326832920287
double_dueling_dqn,Double + Dueling DQN,5,210.0000614464846,118.34361497033298,146.91944898963843,0.79,0.44215381938868287,0.5489184653479968,0.79,0.44215381938868287,0.5489184653479968,0.0,0.0,0.0,0.2,0.447213595499958,0.5552,0.72,0.4192254763250916,0.520453731276854,0.06999999999999999,0.1036822067666386,0.12871782471748033,0.21000000000000002,0.4421538193886829,0.5489184653479968,0.4668448519793066,0.07097150966172149,0.08810864106252662,0.20973892251590884,0.06392166907743861,0.07935651113673992,397.52000000000004,336.9050433727581,418.25579982970993,1.1564004442524858,0.09422149438996363,0.11697268198393294
