variant,variant_label,n,final_return_mean,final_return_std,final_return_ci95,final_return_median,final_return_min,final_return_max,final_solved_rate,final_solved_count,best_return_mean,best_return_std,best_return_ci95,normalized_auc_mean,normalized_auc_std,normalized_auc_ci95,threshold_reach_rate,threshold_reach_count,first_reach_step_median,first_reach_step_mean,first_sustained_step_median,collapse_count_mean,collapse_count_ci95,largest_eval_drop_mean,eval_return_std_across_time_mean,best_final_gap_mean,best_final_gap_ci95,td_loss_last10_mean,td_loss_last10_ci95,td_error_abs_p95_last10_mean,td_error_abs_p95_last10_ci95,gradient_clip_fraction_mean,gradient_clip_fraction_ci95,q_overestimation_proxy_last10_mean,q_overestimation_proxy_last10_ci95,max_q_value_seen_mean,sample_age_mean_last10_mean,sample_consecutive_transition_fraction_last10_mean,online_target_param_l2_mean,env_steps_per_second_mean,wall_time_total_sec_mean,failure_rate
dqn,DQN baseline,5,180.20524896570458,106.06112381439198,131.67116683007004,231.41904309641745,7.847503480223663,262.41577068554915,0.6,3,258.76595978469277,23.021641852315597,28.58056124639176,88.08963683970151,38.12101576664691,47.325904593713,1.0,5,160000.0,188000.0,260000.0,12.6,9.020932244507769,252.3595127017632,135.02173512437247,78.56071081898816,123.50069168883763,0.8582042894167146,0.22414920428081572,1.7598262425360645,0.9617961915805135,0.697560975609756,0.15981094336478346,0.1400314687713375,0.09205313030216129,171.0184783935547,49872.896087398374,0.0005678152019615434,0.32386145125528965,769.6939241172071,649.8894182069955,0.2
dqn_no_target,DQN without target network,5,167.89014684990644,111.24779594591116,138.1102384423724,199.15850312588523,-19.733204902510597,263.0185373511305,0.4,2,255.26067109896138,11.385988796732185,14.135305910990139,55.68021692252573,33.28454927674655,41.32160100765859,1.0,5,220000.0,206000.0,,17.8,5.439826820772881,301.8489070145614,137.4559727251297,87.37052424905501,135.4769040285832,0.7080617745111628,0.1968839968319466,1.4957842135817054,0.3159215583797798,0.08130081300813008,0.10987237778964332,0.18343882134290246,0.0583839233433859,180.1870880126953,49872.896087398374,0.0005678152019615434,,800.1236994326056,624.9496725284,1.0
dqn_no_replay,DQN without replay buffer,5,-113.13295361771634,117.25385636867274,145.56655189140648,-107.7180279158503,-285.7660956043181,7.080555355783841,0.0,0,108.73183777621382,32.502914837425614,40.35122925447913,-179.3052767126223,105.09156326930561,130.46749140506387,0.0,0,,,,0.0,0.0,0.0,199.60734245243333,221.86479139393015,179.47468029047675,1.2405937117009862,0.6739883820704305,1.6116549862742424,0.6972909625541385,0.8648,0.0864865461944226,-1.5660597656607629,1.346659225153156,1444.7037292480468,0.0,1.0,0.8032511182870268,250.5475911840471,1995.7321406954027,1.0
double_dqn,Double DQN,5,227.9434924112952,47.074345067499294,58.44114902691518,234.25352059132123,147.84794054895386,264.15241624548423,0.8,4,267.32326685791463,7.999300714100574,9.930851389935116,60.196349609375986,36.02693542837599,44.72617726988631,1.0,5,230000.0,258000.0,365000.0,11.8,6.16996834999986,230.6151899675097,127.76631591228393,39.37977444661941,51.60292025543688,0.8020291648926289,0.22311533343335113,1.5566172087095616,0.4880733380636355,0.6699186991869919,0.1782244994282321,0.21271811888469916,0.13829544261456908,158.45675964355468,49872.896087398374,0.0005678152019615434,0.3204446058844387,747.8678612351949,668.5918493342003,0.2
dueling_dqn,Dueling DQN,5,229.66738708435355,28.041275441902144,34.812260365070976,230.96939688734545,186.5833427511873,257.1383893306193,0.8,4,271.829042911207,5.431316940854673,6.742789566116395,62.47240204356122,42.000205807653714,52.14178302951778,1.0,5,250000.0,278000.0,410000.0,7.6,5.012198495670337,272.03423037259563,136.65603170558663,42.16165582685347,39.790423855267676,0.7397920025739728,0.2630535620528431,1.4210579400140095,0.5177083642456953,0.5463414634146342,0.17326842037154405,0.11099549347792215,0.1110424195648047,163.75103454589845,49872.896087398374,0.0005678152019615434,0.32640969810346376,642.4371454555841,778.5011305152032,0.6
double_dueling_dqn,Double + Dueling DQN,5,210.0000614464846,118.34361497033298,146.91944898963843,263.0674272335395,-1.5184736927982831,268.45064480409224,0.8,4,247.24005266341024,51.258673989562425,63.63584668572029,59.21241166297354,58.51747011839726,72.64738759431837,0.8,4,215000.0,220000.0,440000.0,8.4,6.719984476172545,200.93826113388633,122.27553585485119,37.23999121692564,83.46118489631073,0.8341532326326139,0.47972435219345383,1.9641074818324267,0.9779917994572427,0.6991869918699187,0.19243388852840052,0.15276048561421834,0.0481384689715584,152.50249328613282,49872.896087398374,0.0005678152019615434,0.32586821668757404,629.3474463150644,794.6458683078002,0.4
