variant,variant_label,seed,run_id,run_dir,training_completed,total_env_steps,total_updates,total_episodes,wall_time_total_sec,env_steps_per_second,updates_per_second,final_return,final_return_median,final_return_std_within_eval,best_return,best_eval_step,area_under_eval_curve,normalized_auc,final_train_return_mean_last_100,final_train_return_std_last_100,success_threshold,first_reach_step,first_sustained_step,reached_threshold,collapse_count,largest_eval_drop,largest_eval_drop_fraction,eval_return_std_across_time,rolling_return_std_mean,td_loss_last10,td_error_abs_mean_last10,td_error_abs_p95_last10,grad_norm_mean_last10,grad_norm_max,gradient_clip_fraction,q_overestimation_proxy_last10,online_q_mean_last10,online_q_max_mean_last10,target_q_mean_last10,max_q_value_seen,replay_enabled,final_buffer_size,sample_age_mean_last10,sample_consecutive_transition_fraction_last10,target_network_enabled,target_update_count,online_target_param_l2_mean,online_target_param_l2_max,nan_detected,inf_detected,loss_explosion,q_value_explosion,gradient_explosion,early_terminated,use_target_network,use_replay_buffer,use_double_dqn,use_dueling_network,learning_rate,gamma,batch_size,target_update_frequency,epsilon_decay_steps,best_final_gap,final_solved
dqn,DQN baseline,0,lunarlander_v3_dqn_seed0_20260515_103624,output/lunarlander_v3/dqn/seed_0/lunarlander_v3_dqn_seed0_20260515_103624,True,500000.0,123751.0,1352.0,670.2362577229942,746.005597636062,184.63787742612064,250.41310561092024,254.01139078241573,28.060236074953828,257.0788162376915,260000.0,23954198.27454022,47.908396549080436,220.41036031329818,86.69084291391253,200.0,260000.0,460000.0,True,12.0,269.6788228392431,1.0490122320693347,135.3722906004842,86.69084291391253,0.8915784542819833,1.1282773610295318,1.538480248393082,8.903221246723858,10.000000230828297,0.6178861788617886,0.05171817686499619,21.079136894970404,21.427058847939097,21.3753406710741,149.8445587158203,True,100000.0,50098.90637703252,0.0005161956381468576,True,501.0,0.3398641594807425,0.5095629409461865,False,False,False,False,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,6.665710626771272,True
dqn,DQN baseline,1,lunarlander_v3_dqn_seed1_20260515_104735,output/lunarlander_v3/dqn/seed_1/lunarlander_v3_dqn_seed1_20260515_104735,True,500000.0,123751.0,1648.0,655.3057439709955,763.0026206853003,188.84467462485318,231.41904309641745,249.9174828697631,58.97761711233273,276.4263519846596,450000.0,61022572.08192638,122.04514416385277,263.5738363599785,31.664353897454767,200.0,140000.0,260000.0,True,10.0,250.69754791604083,1.085635632357614,139.06352996496278,31.664353897454767,0.8849508673316095,1.1182005463576898,1.3369792501131694,8.817722081924261,10.000000986270559,0.6178861788617886,0.1501118109478214,34.89168450890518,35.27571732435769,35.12560551340987,169.5813751220703,True,100000.0,49999.07151930894,0.00038714672861014324,True,501.0,0.2908015097109421,0.4109351992493258,False,False,False,False,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,45.007308888242164,True
dqn,DQN baseline,2,lunarlander_v3_dqn_seed2_20260515_105831,output/lunarlander_v3/dqn/seed_2/lunarlander_v3_dqn_seed2_20260515_105831,True,500000.0,123751.0,1656.0,648.5586053739971,770.9403527406294,190.80927918401125,7.847503480223663,-4.653286973399463,72.4047532269276,258.2986742554058,340000.0,35601291.95172515,71.20258390345029,167.41557701963794,120.37125101924794,200.0,230000.0,,True,13.0,256.10729384850185,0.9915160988989936,127.69612704309135,120.37125101924794,1.1127809293386413,1.4182820916175842,3.0794395901323335,9.801987845967586,10.000001509196476,0.8373983739837398,0.24883726166515815,63.30088269613623,64.08605209598696,63.837214834321806,222.06497192382812,True,100000.0,49776.18343495935,0.0005161956381468576,True,501.0,0.3728393255140177,0.6295503645024512,False,False,False,False,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,250.45117077518213,False
dqn,DQN baseline,3,lunarlander_v3_dqn_seed3_20260515_110919,output/lunarlander_v3/dqn/seed_3/lunarlander_v3_dqn_seed3_20260515_110919,True,500000.0,123751.0,1864.0,628.5685452769976,795.4581942684707,196.87749399783505,262.41577068554915,274.9144745977886,41.01851046920385,280.03721177292323,430000.0,67476151.41013652,134.95230282027305,241.8393369235746,85.10390020281112,200.0,160000.0,210000.0,True,4.0,227.00471156882395,0.9434644790410865,154.50493638330053,85.10390020281112,0.7852376482593335,1.0425036004403743,1.7411280235623925,9.710643472232505,10.00000114163843,0.8373983739837398,0.15462208569534425,42.930858860170936,43.450345729424704,43.29572364372936,167.78863525390625,True,100000.0,49938.895452235774,0.0007742934572202865,True,501.0,0.34056193126111645,0.5533501554189665,False,False,False,False,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,17.62144108737408,True
dqn,DQN baseline,4,lunarlander_v3_dqn_seed4_20260515_111948,output/lunarlander_v3/dqn/seed_4/lunarlander_v3_dqn_seed4_20260515_111948,True,500000.0,123751.0,1345.0,646.7779386899929,773.0628552555733,191.33460280146488,148.93082195541245,179.99239772716174,100.92670986469454,221.9887446727836,230000.0,32169878.380925495,64.33975676185099,227.99994853060346,95.32190130927471,200.0,150000.0,,True,24.0,258.30918733620615,1.1636138927537056,118.47179163002338,95.32190130927471,0.6164735478720045,0.8570573194240166,1.1031041004793432,8.75864940621048,10.000000743800747,0.5772357723577236,0.09486800868336748,19.370324964445782,19.714152088010213,19.619284079326846,145.81285095214844,True,100000.0,49551.423653455284,0.000645244547683572,True,501.0,0.2752403303096297,0.42359801729822294,False,False,False,True,False,False,True,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,73.05792271737116,False
dqn_no_target,DQN without target network,0,lunarlander_v3_dqn_no_target_seed0_20260515_113035,output/lunarlander_v3/dqn_no_target/seed_0/lunarlander_v3_dqn_no_target_seed0_20260515_113035,True,500000.0,123751.0,1317.0,626.0679912400083,798.6353031875749,197.66383480953115,199.15850312588523,196.4581375185845,56.723568397182575,262.89091250567446,340000.0,1665977.817372175,3.3319556347443497,210.40498925548954,81.4655424934691,200.0,250000.0,,True,19.0,325.2456909456428,1.3794452546543723,142.66996019166237,81.4655424934691,0.8872683372923998,1.1388012623883845,1.9008089512344297,7.438625431119927,10.000000324350543,0.23577235772357724,0.2455807933962442,19.240722317036575,19.790423164522746,19.5448423711265,178.8817596435547,True,100000.0,50098.90637703252,0.0005161956381468576,False,,,,False,False,False,True,False,False,False,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,63.73240937978923,False
dqn_no_target,DQN without target network,1,lunarlander_v3_dqn_no_target_seed1_20260515_114101,output/lunarlander_v3/dqn_no_target/seed_1/lunarlander_v3_dqn_no_target_seed1_20260515_114101,True,500000.0,123751.0,1495.0,619.0730680359993,807.6591049037928,199.8972437818985,233.14660830527197,262.5566456535963,73.5869852141127,238.61153738130352,400000.0,26840546.359773107,53.681092719546214,216.69487392733026,97.42592895714206,200.0,180000.0,,True,17.0,257.74868577897377,1.2282079326889939,140.67356560335548,97.42592895714206,0.7958619897443104,1.0242250762819274,1.5709369022671769,6.352485559696521,9.9999999855645,0.06504065040650407,0.19067665038070059,41.63600226921764,42.14487308409156,41.954196433710855,169.51466369628906,True,100000.0,49999.07151930894,0.00038714672861014324,False,,,,False,False,False,True,False,False,False,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,5.464929076031552,True
dqn_no_target,DQN without target network,2,lunarlander_v3_dqn_no_target_seed2_20260515_115120,output/lunarlander_v3/dqn_no_target/seed_2/lunarlander_v3_dqn_no_target_seed2_20260515_115120,True,500000.0,123751.0,1578.0,619.4250595129997,807.2001484620379,199.7836511446513,163.86029036975503,148.12732670413533,77.93451088714575,255.92865211621785,380000.0,47701731.89243824,95.40346378487648,205.61898583649378,95.75242875740012,200.0,100000.0,,True,23.0,287.191020137428,1.122152669358075,143.21010158557402,95.75242875740012,0.7428863833287382,0.958327997627297,1.244565836782378,5.51182863431494,9.999999837763607,0.032520325203252036,0.2026840303002334,30.20248138613817,30.751175174868205,30.548491144567972,174.6415557861328,True,100000.0,49776.18343495935,0.0005161956381468576,False,,,,False,False,False,True,False,False,False,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,92.06836174646281,False
dqn_no_target,DQN without target network,3,lunarlander_v3_dqn_no_target_seed3_20260515_120139,output/lunarlander_v3/dqn_no_target/seed_3/lunarlander_v3_dqn_no_target_seed3_20260515_120139,True,500000.0,123751.0,1411.0,626.4878321739961,798.1000975947665,197.5313703548999,263.0185373511305,269.522842625733,30.0237393886975,268.0336167192552,470000.0,32025159.681571636,64.05031936314327,238.55671285722283,67.12007629366155,200.0,280000.0,,True,11.0,359.21395249112663,1.4597909043417003,133.92614687280008,67.12007629366155,0.4734337479481852,0.7134264882017927,1.3785696868004838,6.363260554354576,9.99999980619177,0.056910569105691054,0.15694540690600386,34.9789528885508,35.53103518292187,35.374089776015865,193.60581970214844,True,100000.0,49938.895452235774,0.0007742934572202865,False,,,,False,False,False,True,False,False,False,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,5.015079368124702,True
dqn_no_target,DQN without target network,4,lunarlander_v3_dqn_no_target_seed4_20260515_121206,output/lunarlander_v3/dqn_no_target/seed_4/lunarlander_v3_dqn_no_target_seed4_20260515_121206,True,500000.0,123751.0,1247.0,633.6944116789964,789.023843014856,195.28497919386288,-19.733204902510597,-19.39533982876246,18.697833824477723,250.83863677235612,280000.0,30967126.55515917,61.93425311031834,236.73669825205445,52.58235238744186,200.0,220000.0,,True,19.0,279.8451857196357,1.1156382817277226,126.80008937225656,52.58235238744186,0.6408584142421804,0.8653343087289391,1.3840396908240589,5.197208179840619,9.999998536542883,0.016260162601626018,0.1213072257313302,21.151704268726878,21.543131626718413,21.42182440098708,184.29164123535156,True,100000.0,49551.423653455284,0.000645244547683572,False,,,,False,False,False,True,False,False,False,True,False,False,0.0005,0.99,64.0,1000.0,100000.0,270.57184167486673,False
